Author,Book,Year,Epoch,Genre_Primary,Genre_Secondary,Form,Remarks,source
Willy Russell,Educating Rita,1980,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Peter Shaffer,Equus,1973,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Ivan Turgenev,Fathers and Sons,1862,19th Century,Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Dalene Matthee,Fiela’s Child,1985,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Chuck Palahniuk,Fight Club,1996,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Angeline Boulley,Firekeeper’s Daughter,2021,21st Century (2000+),,,Novel,source=litcharts,litcharts
Robbie Arnott,Flames,2018,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
J. M. Coetzee,Foe,1986,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Maxine Beneba Clarke,Foreign Soil London. Harlem,2014,21st Century (2000+),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Ahmed Saadawi,Frankenstein in Baghdad,2013,21st Century (2000+),,,Novel,source=litcharts,litcharts
Satyajit Ray,Fritz,1971,Late 20th Century (1950–2000),Mystery / Thriller,,Other,source=litcharts,litcharts
Louise Erdrich,“Future Home of the Living God”,2009,21st Century (2000+),,,Novel,source=litcharts,litcharts
Saki,Gabriel-Ernest,1909,Early 20th Century (1900–1950),,,Other,source=litcharts,litcharts
Anita Desai,Games at Twilight,1978,Late 20th Century (1950–2000),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Bernardine Evaristo,"Girl, Woman, Other",2019,21st Century (2000+),,,Novel,source=litcharts,litcharts
Christina Rossetti,Goblin Market,1862,19th Century,Fantasy / Adventure,,Other,source=litcharts,litcharts
,God Help the Child,2015,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Neil Gaiman And Terry,Good Omens,1990,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Toni Cade Bambara,"Gorilla, My Love",1972,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Margaret Atwood,Hag-Seed,2016,21st Century (2000+),Comedy / Satire,,Novel,source=litcharts,litcharts
Salman Rushdie,Haroun and the Sea of Stories,1990,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Jim Crace,Harvest,2013,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Mikhail Bulgakov,Собачье сердце (Sobachye Serdtse) “Sharik” (which,1924,Early 20th Century (1900–1950),,,Novel,source=litcharts,litcharts
William Shakespeare,Henry IV Part I,1598,Pre-Modern (1000–1600),,,Play,source=litcharts,litcharts
Katherine Mansfield,Her First Ball,1921,Early 20th Century (1900–1950),Coming-of-Age / Bildungsroman,,Other,source=litcharts,litcharts
Ernest Hemingway,Hills Like White Elephants,1926,Early 20th Century (1900–1950),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Kamila Shamsie,Home Fire,2017,21st Century (2000+),Tragedy / Drama,,Novel,source=litcharts,litcharts
Margaret Laurence,Horses of the Night,1970,Late 20th Century (1950–2000),Literary / Realist Fiction,,Other,source=litcharts,litcharts
N. Scott Momaday,House Made of Dawn,1968,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Han Kang,Human Acts,2016,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Isaac Asimov,"I, Robot",1950,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Benedict Anderson,Imagined Communities: Reflections,1983,Late 20th Century (1950–2000),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Truman Capote,In Cold Blood,1966,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Michael Ondaatje,In the Skin of a Lion,1987,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Richard Wagamese,Indian Horse,2012,21st Century (2000+),,,Novel,source=litcharts,litcharts
Dante Alighieri,The Divine Comedy(The Infernois,1317,Pre-Modern (1000–1600),,,Other,source=litcharts,litcharts
Patricia Engel,Infinite Country,2021,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Charles Yu,Interior Chinatown,2020,21st Century (2000+),,,Novel,source=litcharts,litcharts
Jhumpa Lahiri,“Interpreter of Maladies”,1999,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Charlotte Brontë,Jane Eyre: An Autobiography,1847,19th Century,,,Novel,source=litcharts,litcharts
Richard Bach,Jonathan Livingston Seagull,1970,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,source=litcharts,litcharts
Henry Fielding,The History,1742,Early Modern (1600–1800),,,Other,source=litcharts,litcharts
Nadine Gordimer,July’s People,1981,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Rabindranath Tagore,Kabuliwala,1892,19th Century,Literary / Realist Fiction,,Other,source=litcharts,litcharts
Haruki Murakami,Kafka on the Shore,2002,21st Century (2000+),Fantasy / Adventure,,Novel,source=litcharts,litcharts
Raja Rao,Kanthapura,1938,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Banana Yoshimoto,Kitchen,1988,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Sir Thomas Malory,Le Morte d’Arthur,1485,Pre-Modern (1000–1600),,,Novel,source=litcharts,litcharts
Cate Kennedy,Like a House on Fire,2012,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
John Osborne,Look Back in Anger,1956,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Melina Marchetta,Looking for Alibrandi,1992,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
William Golding,Lord of the Flies,1954,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Vyasa,Mahabharata,-300,Pre-Modern (pre-1600),,,Other,source=litcharts,litcharts
Athol Fugard,“Master Harold”… and the boys,1982,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
William Shakespeare,Measure,1623,Early Modern (1600–1800),,,Play,source=litcharts,litcharts
Richard Wagamese,Medicine Walk,2014,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Silvia Moreno,Mexican Gothic,2020,21st Century (2000+),Mystery / Thriller,,Novel,source=litcharts,litcharts
Katherine Mansfield,Miss Brill,1920,Early 20th Century (1900–1950),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Eden Robinson,Monkey Beach,2000,21st Century (2000+),,,Novel,source=litcharts,litcharts
Waubgeshig Rice,Moon of the Crusted Snow,2018,21st Century (2000+),,,Novel,source=litcharts,litcharts
Bertolt Brecht,Mutter Courage,1941,Early 20th Century (1900–1950),,,Play,source=litcharts,litcharts
David Haig,My Boy Jack,1997,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Miles Franklin,My Brilliant Career,1901,Early 20th Century (1900–1950),Coming-of-Age / Bildungsroman,,Other,source=litcharts,litcharts
Hanif Kureishi,My Son the Fanatic,1994,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Tsitsi Dangarembga,Nervous Conditions,1988,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Paulette Jiles,News of the World,2016,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Alice Munro,Night,2012,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Alice Munro,Night,2012,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Djuna Barnes,Nightwood,1936,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Osamu Dazai,No Longer Human,1948,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Jack Davis,No Sugar,1985,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
José Rizal,Noli Me Tangere (Touch Me Not),1887,19th Century,,,Novel,source=litcharts,litcharts
Haruki Murakami,Norwegian Wood,1987,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Novel,source=litcharts,litcharts
Sophocles,Oedipus Rex (or Oedipus the King),-429,Pre-Modern (pre-1600),,,Play,source=litcharts,litcharts
John Steinbeck,Of Mice and Men,1937,Early 20th Century (1900–1950),Tragedy / Drama,,Novel,source=litcharts,litcharts
Rohinton Mistry,Of White Hairs and Cricket,1987,Late 20th Century (1950–2000),Coming-of-Age / Bildungsroman,,Other,source=litcharts,litcharts
Ernest Hemingway,"""Old Man at the Bridge""",1938,Early 20th Century (1900–1950),,,Other,source=litcharts,litcharts
Ocean Vuong,On Earth we’re Briefly Gorgeous,2019,21st Century (2000+),,,Novel,source=litcharts,litcharts
Susan Hill,On the Face of It,1975,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Aphra Behn Daniel Defoe’srroobbiinnssoonn Ccrruussooee(1719),"Oroonoko; Or, the Royal Slave",1688,Early Modern (1600–1800),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Vladimir Nabokov,Pale Fire,1962,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Samuel Richardson,"Pamela; or, Virtue Rewarded",1740,Early Modern (1600–1800),Romance / Domestic Fiction,,Novel,source=litcharts,litcharts
John Milton,Paradise Lost,1667,Early Modern (1600–1800),,,Other,source=litcharts,litcharts
Randy Ribay,Patron Saints of Nothing,2019,21st Century (2000+),,,Other,source=litcharts,litcharts
Patrick Süskind,Perfume: The Story,1985,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Marjane Satrapi,Persepolis 2: The Story of a Return,2002,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,source=litcharts,litcharts
Marjane Satrapi,Persepolis: The Story of a Childhood,2003,21st Century (2000+),Coming-of-Age / Bildungsroman,,Novel,source=litcharts,litcharts
Anna Ziegler,Photograph 51,2015,21st Century (2000+),,,Play,source=litcharts,litcharts
Joan Lindsay,Picnic,1967,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
William Langland,Piers Plowman,1370,Pre-Modern (1000–1600),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Edgar Allan Poe,,1833,19th Century,Mystery / Thriller,,Other,source=litcharts,litcharts
Honoré De Balzac,Père Goriot,1834,19th Century,Tragedy / Drama,,Novel,source=litcharts,litcharts
C. S. Lewis,Prince Caspian,1951,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Dante Alighieri,Purgatorio,1308,Pre-Modern (1000–1600),,,Novel,source=litcharts,litcharts
Toni Cade Bambara,Raymond’s Run,1971,Late 20th Century (1950–2000),,,Other,source=litcharts,litcharts
Doris Lessing,Report on the Threatened City,1972,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
William Shakespeare,The Tragedy of King Richard the Third,1597,Pre-Modern (1000–1600),,,Play,source=litcharts,litcharts
Stephen King,Rita Hayworth,1982,Late 20th Century (1950–2000),Mystery / Thriller,,Novel,source=litcharts,litcharts
Daniel Defoe,The Life,1719,Early Modern (1600–1800),,,Novel,source=litcharts,litcharts
Edith Wharton,Roman Fever,1934,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Emma Donoghue,Room,2010,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Jesmyn Ward,Salvage the Bones,2011,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Jhumpa Lahiri,Sexy,1998,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Anjana Appachana,Sharmaji,1991,Late 20th Century (1950–2000),,,Other,source=litcharts,litcharts
George Orwell,"""Shooting an Elephant""",1936,Early 20th Century (1900–1950),,,Other,source=litcharts,litcharts
Yuri Herrera,Signs Preceding,2009,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Vijay Tendulkar,Silence!,1967,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Andrea Levy,Small Island,2004,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Mariama Bâ,So Long a Letter,1979,Late 20th Century (1950–2000),Romance / Domestic Fiction,,Novel,source=litcharts,litcharts
Eden Robinson,Son of a Trickster,2017,21st Century (2000+),,,Novel,source=litcharts,litcharts
Ted Chiang,Story of Your Life,1998,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Ray Lawler,Summer of the Seventeenth Doll,1955,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Margaret Atwood,Surfacing,1972,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Langston Hughes,"“Thank You, M’am”",1958,Late 20th Century (1950–2000),,,Other,source=litcharts,litcharts
Wesley Enoch And,The 7 Stages of Grieving,1992,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Virgil,TheAeneid,-29,Pre-Modern (pre-1600),,,Other,source=litcharts,litcharts
Ben Jonson,The Alchemist,1610,Early Modern (1600–1800),,,Play,source=litcharts,litcharts
John Gay,The Beggar’s Opera,1728,Early Modern (1600–1800),,,Play,source=litcharts,litcharts
Angela Carter,The Bloody Chamber and Other Stories,1979,Late 20th Century (1950–2000),Fantasy / Adventure,,Novel,source=litcharts,litcharts
Alistair Macleod,The Boat,1968,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Markus Zusak,The Book Thief Liesel,2005,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
John Wyndham,The Chrysalids,1955,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
N. K. Jemisin,The City We Became,2020,21st Century (2000+),,,Novel,source=litcharts,litcharts
Katherine Mansfield,The Daughters of the Late Colonel,1921,Early 20th Century (1900–1950),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Giovanni Boccaccio,"The Decameron, or Prince Galahalt",1352,Pre-Modern (1000–1600),Comedy / Satire,,Other,source=litcharts,litcharts
Elizabeth Bowen,The Demon Lover,1945,Early 20th Century (1900–1950),Mystery / Thriller,,Novel,source=litcharts,litcharts
Katherine Mansfield,“The Doll’s House”,1922,Early 20th Century (1900–1950),,,Other,source=litcharts,litcharts
H. G. Wells,The Door in the Wall,1906,Early 20th Century (1900–1950),,,Novel,source=litcharts,litcharts
Rosalie Ham,The Dressmaker,2000,21st Century (2000+),,,Play,source=litcharts,litcharts
Jane Harper,The Dry,2016,21st Century (2000+),,,Novel,source=litcharts,litcharts
John Webster,The Tragedy of the Duchess of Malfi,1623,Early Modern (1600–1800),,,Play,source=litcharts,litcharts
Pearl Buck,“The Enemy”,1942,Early 20th Century (1900–1950),,,Novel,source=litcharts,litcharts
Anonymous,The Epic of Gilgamesh,-2100,Pre-Modern (pre-1600),,,Other,year approx; earliest written tablets ~2100 BCE; source=litcharts,litcharts
Edmund Spenser,The Faerie Queene,1590,Pre-Modern (1000–1600),,,Other,source=litcharts,litcharts
Katherine Mansfield,“The Fly”,1922,Early 20th Century (1900–1950),,,Other,source=litcharts,litcharts
O. Henry,The Furnished Room,1902,Early 20th Century (1900–1950),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Katherine Mansfield,“The Garden Party”,1922,Early 20th Century (1900–1950),,,Other,source=litcharts,litcharts
Mario Puzo,The Godfather,1969,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Nikolay Gogol,The Government Inspector,1836,19th Century,,,Play,source=litcharts,litcharts
F. Scott Fitzgerald,The Great Gatsby,1925,Early 20th Century (1900–1950),Tragedy / Drama,,Novel,source=litcharts,litcharts
Stephen King,The Green Mile,1996,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
R. K. Narayan,The Guide,1958,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Oscar Wilde,The Happy Prince,1888,19th Century,Fantasy / Adventure,,Other,source=litcharts,litcharts
D. H. Lawrence,The Horse-Dealer’s Daughter,1922,Early 20th Century (1900–1950),,,Novel,source=litcharts,litcharts
Federico García Lorca,La,1945,Early 20th Century (1900–1950),,,Play,source=litcharts,litcharts
Homer,The Iliad,-800,Pre-Modern (pre-1600),,,Other,source=litcharts,litcharts
Kiran Desai,The Inheritance of Loss,2006,21st Century (2000+),,,Play,source=litcharts,litcharts
Ernest Hemingway,The Killers,1927,Early 20th Century (1900–1950),Mystery / Thriller,,Novel,source=litcharts,litcharts
Marie De France,The Lais of Marie de France,1170,Pre-Modern (1000–1600),,,Novel,source=litcharts,litcharts
Alphonse Daudet,The Last Lesson,1873,19th Century,Literary / Realist Fiction,,Other,source=litcharts,litcharts
Ursula K. Le Guin,The Lathe of Heaven,1971,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Ursula K. Le Guin,The Left Hand of Darkness,1969,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Giuseppe Di Lampedusa,The Leopard (Il Gattopardo),1958,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Bertolt Brecht,Life of Galileo,1940,Early 20th Century (1900–1950),,,Play,source=litcharts,litcharts
Wole Soyinka,The Lion and the Jewel,1959,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Hans Christian,The Little Match Girl,1845,19th Century,Fantasy / Adventure,,Other,source=litcharts,litcharts
Fred D’aguiar,The Longest Memory,1994,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Shirley Jackson,The Lottery,1948,Early 20th Century (1900–1950),,,Novel,source=litcharts,litcharts
Jhumpa Lahiri,The Lowland,2013,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
E.m. Forster,The Machine Stops,1909,Early 20th Century (1900–1950),,,Novel,source=litcharts,litcharts
Thomas Mann,The Magic Mountain,1924,Early 20th Century (1900–1950),,,Novel,source=litcharts,litcharts
C. S. Lewis,The Magician’s Nephew,1955,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Cherie Dimaline,The Marrow Thieves,2017,21st Century (2000+),,,Novel,source=litcharts,litcharts
Yoko Ogawa,The Memory Police,1994,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Arundhati Roy,The Ministry of Utmost Happiness,2009,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Matthew Lewis,The Monk: A Romance,1796,Early Modern (1600–1800),Fantasy / Adventure,,Novel,source=litcharts,litcharts
W.w. Jacobs,The Monkey’s Paw,1902,Early 20th Century (1900–1950),,,Other,source=litcharts,litcharts
Agatha Christie,The Mysterious Affair at Styles,1920,Early 20th Century (1900–1950),,,Novel,source=litcharts,litcharts
Guy De Maupassant,The Necklace,1884,19th Century,Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Oscar Wilde,"""The Nightingale and the Rose""",1888,19th Century,,,Other,source=litcharts,litcharts
Nicholas Sparks,The Notebook,1996,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Homer,The Odyssey,-800,Pre-Modern (pre-1600),,,Other,source=litcharts,litcharts
Ken Liu,The Paper Menagerie,2011,21st Century (2000+),,,Other,source=litcharts,litcharts
Stephen Chbosky,The Perks of Being a Wallflower,1999,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Muriel Spark,The Prime of Miss Jean Brodie,1961,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Alexander Pope,“The Rape of the Lock”,1714,Early Modern (1600–1800),,,Novel,source=litcharts,litcharts
Selma Lagerlöf,“The Rattrap”,1933,Early 20th Century (1900–1950),,,Other,source=litcharts,litcharts
Viet Thanh Nguyen,The Refugees,2017,21st Century (2000+),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Mohsin Hamid,The Reluctant Fundamentalist,2007,21st Century (2000+),,,Novel,source=litcharts,litcharts
Janet Frame,The Reservoir,1966,Late 20th Century (1950–2000),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Samuel Coleridge,The Rime of the Ancient Mariner,1798,Early Modern (1600–1800),Fantasy / Adventure,,Other,source=litcharts,litcharts
D. H. Lawrence,The Rocking-Horse Winner,1926,Early 20th Century (1900–1950),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Aphra Behn,The Rover,1677,Early Modern (1600–1800),,,Play,source=litcharts,litcharts
Yukio Mishima,Gogo No Eiko,1963,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
James Hurst,The Scarlet Ibis,1960,Late 20th Century (1950–2000),,,Other,source=litcharts,litcharts
Anonymous,The Second Shepherd’s Play They,1475,Pre-Modern (1000–1600),,,Play,source=litcharts,litcharts
James Thurber,The Secret Life of Walter Mitty,1939,Early 20th Century (1900–1950),Comedy / Satire,,Other,source=litcharts,litcharts
Kate Grenville,The Secret River,2005,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Julian Barnes,The Sense of an Ending,2011,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
J. R. R. Tolkien,The Silmarillion,1977,Late 20th Century (1950–2000),,,Other,source=litcharts,litcharts
C. S. Lewis,The Silver Chair,1953,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Katherine Mansfield,The Singing Lesson Mistress,1920,Early 20th Century (1900–1950),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Madeline Miller,The Song of Achilles,2011,21st Century (2000+),,,Play,source=litcharts,litcharts
Anonymous,The Song,1040,Pre-Modern (1000–1600),,,Other,source=litcharts,litcharts
Thomas Hardy,The Son’s Veto Mr. Twycott,1891,19th Century,,,Other,source=litcharts,litcharts
Yukio Mishima,The Sound of Waves,1954,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
John Le Carré,The Spy Who Came in from the Cold,1963,Late 20th Century (1950–2000),Mystery / Thriller,,Novel,source=litcharts,litcharts
J.c. Burke,The Story,2005,21st Century (2000+),,,Novel,source=litcharts,litcharts
Kate Chopin,The Story of an Hour,1894,19th Century,Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Patricia Highsmith,The Talented Mr. Ripley,1955,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Anne Brontë,The Tenant of Wildfell Hall,1848,19th Century,Romance / Domestic Fiction,,Novel,source=litcharts,litcharts
Chimamanda Ngozi,The Thing Around Your Neck,2009,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Jack Finney,The Third Level,1952,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Cixin Liu,The Three-Body Problem,2009,21st Century (2000+),,,Novel,source=litcharts,litcharts
Marghanita Laski,The Tower,1955,Late 20th Century (1950–2000),Mystery / Thriller,,Other,source=litcharts,litcharts
Athol Fugard,The Train Driver,2010,21st Century (2000+),,,Play,source=litcharts,litcharts
Euripides,The Trojan Women,-415,Pre-Modern (pre-1600),,,Play,source=litcharts,litcharts
Tim Winton,The Turning,2004,21st Century (2000+),Literary / Realist Fiction,,Other,source=litcharts,litcharts
Han Kang,The Vegetarian,2007,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Ray Bradbury,The Veldt,1950,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
R. K. Narayan,The Vendor of Sweets,1967,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Friedrich Dürrenmatt,The Visit(German:Der Besuch,1956,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
C. S. Lewis,The Voyage of the Dawn Treader,1952,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Iain Banks,The Wasp Factory,1984,Late 20th Century (1950–2000),Mystery / Thriller,,Novel,source=litcharts,litcharts
Ta,The Water Dancer,2019,21st Century (2000+),Fantasy / Adventure,,Novel,source=litcharts,litcharts
William Congreve,The Way of the World,1700,Early Modern (1600–1800),,,Play,source=litcharts,litcharts
Witi Ihimaera,The Whale Rider(Te Kaieke Tohoruain Maori),1987,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Aravind Adiga,The White Tiger,2008,21st Century (2000+),Comedy / Satire,,Novel,source=litcharts,litcharts
Charlotte Perkins,The Widow’s Might,1892,19th Century,,,Novel,source=litcharts,litcharts
Susan Hill,The Woman in Black,1983,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Ursula K. Le Guin,The Word for World is Forest,1972,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Charlotte Perkins,The Yellow Wallpaper,1892,19th Century,Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Edward Albee,The Zoo Story,1959,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Friedrich Neitzsche,Thus Spoke Zarathustra: A Book,1885,19th Century,Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Irvine Welsh,Trainspotting,1993,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Susan Glaspell,Trifles,1916,Early 20th Century (1900–1950),,,Play,source=litcharts,litcharts
William Shakespeare,Twelfth Night,1623,Early Modern (1600–1800),,,Play,source=litcharts,litcharts
Mulk Raj Anand,Untouchable,1935,Early 20th Century (1900–1950),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Sir Thomas More,Libellus,1516,Pre-Modern (1000–1600),,,Novel,source=litcharts,litcharts
Shirley Jackson,We Have Always Lived in the Castle,1962,Late 20th Century (1950–2000),Mystery / Thriller,,Novel,source=litcharts,litcharts
Lionel Shriver,We Need to Talk About Kevin,2003,21st Century (2000+),,,Novel,source=litcharts,litcharts
Margaret Atwood,When It Happens,1977,Late 20th Century (1950–2000),,,Novel,source=litcharts,litcharts
Kate Atkinson,When Will There Be Good News?,2008,21st Century (2000+),,,Other,source=litcharts,litcharts
Julie Otsuka,When the Emperor was Divine,2002,21st Century (2000+),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
Margaret Edson,Wit (often spelled “W;t”),1999,Late 20th Century (1950–2000),,,Play,source=litcharts,litcharts
Nawal El Saadawi,Woman at Point Zero,1975,Late 20th Century (1950–2000),Literary / Realist Fiction,,Novel,source=litcharts,litcharts
